Nom recette;Contenu;But;Ingrédients;Utilisation;Enchantement;
"Elixir ""Debout les morts""";"Elixir ""Debout les morts"" (remède) But. Dessaouler. Ingrédients. 3 brins de Tschaï, 2 mesures de lait de chèvre, 4 plumes de poule, 5 écailles de savon, 1 pépin d'obbadion, 1 mesure de vinaigre. Manipulation. Chauffer le lait de chèvre et incorporer le savon jusqu'à couleur bleu-gris (-2). Broyer les plumes et le tschaï pour obtenir une consistance lapin (0), ajouter au lait de chèvre. Dissoudre l'obbadion dans le vinaigre (Dex 0) et mélanger au reste pour obtenir une couleur brun-glauque (- 2). Utilisation. Boire sans respirer. Faire un jet de vie à 0 (tenir compte de l'état général) par niveau d'éthylisme. Si le jet est réussi, regain du niveau. S'arrêter dès échec. Enchantement. Bonus de +1 au jet de vie par point de rêve. Sur-effet. 3% de chance par point de rêve de perdre la moitié des points de Vue. (Pour le regain des points de Vue, jouer Vue à 0 tous les jours, barème des points de tâche). Source";Dessaouler.;3 brins de Tschaï, 2 mesures de lait de chèvre, 4 plumes de poule, 5 écailles de savon, 1 pépin d'obbadion, 1 mesure de vinaigre. Manipulation. Chauffer le lait de chèvre et incorporer le savon jusqu'à couleur bleu-gris (-2). Broyer les plumes et le tschaï pour obtenir une consistance lapin (0), ajouter au lait de chèvre. Dissoudre l'obbadion dans le vinaigre (Dex 0) et mélanger au reste pour obtenir une couleur brun-glauque (- 2).;Boire sans respirer. Faire un jet de vie à 0 (tenir compte de l'état général) par niveau d'éthylisme. Si le jet est réussi, regain du niveau. S'arrêter dès échec.;Bonus de +1 au jet de vie par point de rêve. Sur-effet. 3% de chance par point de rêve de perdre la moitié des points de Vue. (Pour le regain des points de Vue, jouer Vue à 0 tous les jours, barème des points de tâche). Source;
Mousse dépilatoire;"Mousse dépilatoire But. Enlever tous les poils, cheveux, fourrure. Ingrédients. Deux écailles de peau de Troute, 3 brins de névropenthe, 1 mesure d'eau Alchimiquement Simple. Manipulation. Faire chauffer l'eau AS. Ajouter la névropenthe et laisser refroidir jusqu'à couleur Bleu-Pourpre (Vue/Alchimie à -2). Verser la peau de troute finement
broyée et touiller jusqu'à consistance Cheval (Dextérité/Alchimie à 0). Il en résulte une mesure d'une belle mousse blanche et onctueuse, assez pour se raser pendant deux à trois jours. Utilisation. Frotter la partie à dépiler avec la mousse. Vous obtiendrez une belle peau toute lisse. Enchantement. Non enchantable Source";Enlever tous les poils, cheveux, fourrure.;"Deux écailles de peau de Troute, 3 brins de névropenthe, 1 mesure d'eau Alchimiquement Simple. Manipulation. Faire chauffer l'eau AS. Ajouter la névropenthe et laisser refroidir jusqu'à couleur Bleu-Pourpre (Vue/Alchimie à -2). Verser la peau de troute finement
broyée et touiller jusqu'à consistance Cheval (Dextérité/Alchimie à 0). Il en résulte une mesure d'une belle mousse blanche et onctueuse, assez pour se raser pendant deux à trois jours.";Frotter la partie à dépiler avec la mousse. Vous obtiendrez une belle peau toute lisse.;Non enchantable Source;
Poudre desséchante pour aliments;Poudre desséchante pour aliments But. Dessèche les aliments, diminue leur taille et permet leur conservation durant de nombreux jours. Ingrédients. 1 écaille de sable ocre, de l'air chaud, un beau soleil et 2 pépins d'Obyssum Vert. Manipulation. Mélanger le sable ocre et l'Obyssum Vert et remuer pour avoir une constance Renard-Renard-Renard (Dextérité/Alchimie à -3). S'arranger pour qu'un bon souffle d'air chaud passe sur la préparation pendant quelques instants et laisser ensuite en plein soleil pendant une heure. Après quoi on peut récupérer une écaille d'une poudre orangée. Utilisation. Saupoudrer la poudre sur les aliments. Une écaille permet de traiter une livre de nourriture, qui se rétracte et se dessèche sous l'effet de la poudre. Elle ne perd pas ses qualités nutritives, mais elle va se conserver une bonne semaine sans aucun problème, quelles que soient les circonstances. Il est possible de saupoudrer à nouveau le tout avec la poudre pour prolonger l'effet au bout d'une semaine. Accessoirement, la nourriture fait maintenant moitié moins d'encombrement qu'avant. Le goût est altéré par la dessiccation : par la suite on a toujours l'impression qu'il y a des grains de sable dans la nourriture (qualité des plats diminuée de 3) Note. versée sur de l'eau, cette poudre la dessèche aussi, et vous obtenez de l'eau déshydratée, une petite poudre fine et grise, qu'il est possible d'avaler pour boire. Le Gardien des Rêves est libre de demander un jet de Volonté pour ça. Enchantement. Non enchantable. Source;Dessèche les aliments, diminue leur taille et permet leur conservation durant de nombreux jours.;1 écaille de sable ocre, de l'air chaud, un beau soleil et 2 pépins d'Obyssum Vert. Manipulation. Mélanger le sable ocre et l'Obyssum Vert et remuer pour avoir une constance Renard-Renard-Renard (Dextérité/Alchimie à -3). S'arranger pour qu'un bon souffle d'air chaud passe sur la préparation pendant quelques instants et laisser ensuite en plein soleil pendant une heure. Après quoi on peut récupérer une écaille d'une poudre orangée.;Saupoudrer la poudre sur les aliments. Une écaille permet de traiter une livre de nourriture, qui se rétracte et se dessèche sous l'effet de la poudre. Elle ne perd pas ses qualités nutritives, mais elle va se conserver une bonne semaine sans aucun problème, quelles que soient les circonstances. Il est possible de saupoudrer à nouveau le tout avec la poudre pour prolonger l'effet au bout d'une semaine. Accessoirement, la nourriture fait maintenant moitié moins d'encombrement qu'avant. Le goût est altéré par la dessiccation : par la suite on a toujours l'impression qu'il y a des grains de sable dans la nourriture (qualité des plats diminuée de 3) Note. versée sur de l'eau, cette poudre la dessèche aussi, et vous obtenez de l'eau déshydratée, une petite poudre fine et grise, qu'il est possible d'avaler pour boire. Le Gardien des Rêves est libre de demander un jet de Volonté pour ça.;Non enchantable. Source;
Dessiccation de Bazoulkar l'ancien;Dessiccation de Bazoulkar l'ancien (préparation intermédiaire) But. Caramélisation d'un liquide sucré pour le rendre propre à certaines manipulations alchimiques. Manipulation. Dans un chaudron de cuivre ou un alambic chauffer le liquide à la température bleu (0) pendant environ une demi-heure draconique. Le liquide doit prendre une consistance renard-renard (-1). Retirer alors du feu et laisser refroidir. Si au bout d'une nouvelle demi-heure le liquide est toujours trop liquide ou trop compact c'est que la préparation a échouée. (De même si le chaudron explose !) Source;Caramélisation d'un liquide sucré pour le rendre propre à certaines manipulations alchimiques. Manipulation. Dans un chaudron de cuivre ou un alambic chauffer le liquide à la température bleu (0) pendant environ une demi-heure draconique. Le liquide doit prendre une consistance renard-renard (-1). Retirer alors du feu et laisser refroidir. Si au bout d'une nouvelle demi-heure le liquide est toujours trop liquide ou trop compact c'est que la préparation a échouée. (De même si le chaudron explose !) Source;;;;
Granulés pour digérer n'importe quoi;Granulés pour digérer n'importe quoi But. Aider à la digestion de n'importe quoi, trouver une valeur nutritive dans à peu près tout. Ingrédients. Une dent de Drôle (Livre 3, p. 37-38), 2 écailles de salpêtre, 1 écaille de pèpre noire (Du Voyage et des Voyageurs p. 66), 9 pépins de candique. Manipulation. Broyer le salpêtre avec les pépins de candique, pour obtenir une belle consistance Lapin-Lapin (Dextérité/Alchimie à -1). Commencer à faire chauffer à feu doux. A température Brun (Vue/Alchimie à 0), ajouter la pèpre noire et laisser chauffer jusqu'à Gris-Gris (Vue/Alchimie à -1). Lancer la dent de Drôle dedans. Laisser mijoter trois heures, au bout desquelles la dent doit être dissoute. Attendre que la consistance ait atteint Hibou- Serpent (Dextérité/Alchimie à -2) pour retirer du feu. On doit obtenir une demi-douzaine de petits grains noirs, semblable à du sable. Utilisation. Gober un grain. Pendant une heure vous serez capable de trouver une valeur nutritive à n'importe quoi (quelques malheureux points de Sust). L'efficacité de ce que vous mangez est à déterminer par le Gardien des Rêves. Attention : ça ne protège pas des effets néfastes directs comme l'ingestion d'un poison. Ca ne permet pas non plus de manger les barreaux de sa cage : Vous n'avez toujours qu'une petite mâchoire de Voyageur. Par contre vous pouvez manger de la terre, du bois, du sable, voire vos pièces de monnaie et en retirer un peu quelque chose. Enchantement. Non enchantable. Source;Aider à la digestion de n'importe quoi, trouver une valeur nutritive dans à peu près tout.;Une dent de Drôle (Livre 3, p. 37-38), 2 écailles de salpêtre, 1 écaille de pèpre noire (Du Voyage et des Voyageurs p. 66), 9 pépins de candique. Manipulation. Broyer le salpêtre avec les pépins de candique, pour obtenir une belle consistance Lapin-Lapin (Dextérité/Alchimie à -1). Commencer à faire chauffer à feu doux. A température Brun (Vue/Alchimie à 0), ajouter la pèpre noire et laisser chauffer jusqu'à Gris-Gris (Vue/Alchimie à -1). Lancer la dent de Drôle dedans. Laisser mijoter trois heures, au bout desquelles la dent doit être dissoute. Attendre que la consistance ait atteint Hibou- Serpent (Dextérité/Alchimie à -2) pour retirer du feu. On doit obtenir une demi-douzaine de petits grains noirs, semblable à du sable.;Gober un grain. Pendant une heure vous serez capable de trouver une valeur nutritive à n'importe quoi (quelques malheureux points de Sust). L'efficacité de ce que vous mangez est à déterminer par le Gardien des Rêves. Attention : ça ne protège pas des effets néfastes directs comme l'ingestion d'un poison. Ca ne permet pas non plus de manger les barreaux de sa cage : Vous n'avez toujours qu'une petite mâchoire de Voyageur. Par contre vous pouvez manger de la terre, du bois, du sable, voire vos pièces de monnaie et en retirer un peu quelque chose.;Non enchantable. Source;
Distillation d'alcool;"Distillation d'alcool But. Obtenir un liquide alcoolisé à partir de presque tous les fruits et légumes, et même autre chose. Ingrédients. Ce que vous voulez, de votre dernière récolte de veloute à vos vieilles bottes... 3 brins de névropenthe, 3 brins de satum, 1/2 livre de sucre ou de miel. Manipulation. Remplir un chaudron d'eau (pas nécessairement alchimiquement simple) et déverser les fruits ou légumes désirés. Faire chauffer à feu doux durant deux bonnes heures, puis remuer pour obtenir une consistance Hibou-Cheval (Dextérité/Alchimie à -2), ce qui peut être difficile avec vos vieilles bottes... Ajouter alors le sucre ou le miel, puis les brins de satum. Chauffer jusqu'à couleur Vert (Vue/Alchimie à 0) et mettre les brins de névropenthe. Il faut laisser le tout à la même température pendant au moins 12 heures, mais les connaisseurs attendent trois jours au minimum. A la fin, votre mélange doit avoir sérieusement réduit, mais il doit vous rester un litre d'un liquide de couleur et de goût variable (très variable) mais toujours au moins un peu alcoolisé. Note. Toute la fermentation est accélérée par les herbes alchimiques, mais il peut y avoir des ratés de temps a autre. Sur un échec total, ça peut faire beaucoup de bruit... Utilisation. Ben, vous savez quoi en faire... Pour vos premiers mélanges, nous vous conseillons de faire goûter en
premier à quelqu'un d'autre. Enchantement. Comme de l'alcool classique. Sur-effet. Oh, ça arrive... Quelques cocktails rencontrés lors de voyages Meley's A base de Mélikasse, c'est un alcool crémeux et assez fort (1 mesure, force -4) Floumibu A base de Floume bien floumée et d'ortigal Bleu. Les connaisseurs le mettent en bouteille avec la floumette (ver du floumier). (1 mesure, force -3) PinaColada Bombarde, ananas, coquenoix. Sucré, parfois traître, ça peut vous exploser en bouche (1 mesure, force -4) TGV Trésure, gironcle, veloute. Pas mauvais, mais plutôt fort (1/2 mesure, force -5) T'es qui, là ? Une recette de certains cyans du désert, à base de cactus et de venin de sales bestioles écailleuses. (1 mesure, force -5) Bleurka Une recette grouine, à base de plein de choses diverses, dont des pommes de terre et des bottes. Ils ne le font pas par voie alchimique bien sur, mais laissent mijoter dans le casque d'un grand chef mort. Rajouter du poivre peut aider à faire passer le tout. (Une mesure, force variable) Source";Obtenir un liquide alcoolisé à partir de presque tous les fruits et légumes, et même autre chose.;Ce que vous voulez, de votre dernière récolte de veloute à vos vieilles bottes... 3 brins de névropenthe, 3 brins de satum, 1/2 livre de sucre ou de miel. Manipulation. Remplir un chaudron d'eau (pas nécessairement alchimiquement simple) et déverser les fruits ou légumes désirés. Faire chauffer à feu doux durant deux bonnes heures, puis remuer pour obtenir une consistance Hibou-Cheval (Dextérité/Alchimie à -2), ce qui peut être difficile avec vos vieilles bottes... Ajouter alors le sucre ou le miel, puis les brins de satum. Chauffer jusqu'à couleur Vert (Vue/Alchimie à 0) et mettre les brins de névropenthe. Il faut laisser le tout à la même température pendant au moins 12 heures, mais les connaisseurs attendent trois jours au minimum. A la fin, votre mélange doit avoir sérieusement réduit, mais il doit vous rester un litre d'un liquide de couleur et de goût variable (très variable) mais toujours au moins un peu alcoolisé. Note. Toute la fermentation est accélérée par les herbes alchimiques, mais il peut y avoir des ratés de temps a autre. Sur un échec total, ça peut faire beaucoup de bruit...;"Ben, vous savez quoi en faire... Pour vos premiers mélanges, nous vous conseillons de faire goûter en
premier à quelqu'un d'autre.";Comme de l'alcool classique. Sur-effet. Oh, ça arrive... Quelques cocktails rencontrés lors de voyages Meley's A base de Mélikasse, c'est un alcool crémeux et assez fort (1 mesure, force -4) Floumibu A base de Floume bien floumée et d'ortigal Bleu. Les connaisseurs le mettent en bouteille avec la floumette (ver du floumier). (1 mesure, force -3) PinaColada Bombarde, ananas, coquenoix. Sucré, parfois traître, ça peut vous exploser en bouche (1 mesure, force -4) TGV Trésure, gironcle, veloute. Pas mauvais, mais plutôt fort (1/2 mesure, force -5) T'es qui, là ? Une recette de certains cyans du désert, à base de cactus et de venin de sales bestioles écailleuses. (1 mesure, force -5) Bleurka Une recette grouine, à base de plein de choses diverses, dont des pommes de terre et des bottes. Ils ne le font pas par voie alchimique bien sur, mais laissent mijoter dans le casque d'un grand chef mort. Rajouter du poivre peut aider à faire passer le tout. (Une mesure, force variable) Source;
La douce amie;La douce amie (venin de lame) But. Obtenir 1 demi mesure de douce amie. Ingrédients. 1 dizaine de feuilles d'ortilise, 1 dizaine de feuille d'ortironce, 1 dizaine de feuilles d'énervure (ces trois plantes sont des urticants venimeux), 9 brins de mercurion, 15 doigts de lait de chèvre, 1 mesure d'eau alchimiquement simple, 10 pépins de nartha. Temps de préparation. 10 minutes pour chaque extrait, 15 minutes pour la première partie de la préparation, 30 minutes pour la seconde partie. Manipulation. Préparer un extrait d'ortilise : Malaxer une dizaine de feuilles fraîches d'ortilise avec 3 brins de mercurion. Faire chauffer 5 doigts de lait de chèvre jusqu'à température bleu-glauque. Tirer hors du feu et y mélanger la préparation précédente jusqu'à obtention d'une consistance serpent-serpent. Le produit doit être incolore. Préparer de même un extrait d'ortironce et un extrait d'énervure. Attention, ces extraits ne gardent leurs propriétés alchimiques que pendant 12 heures. Mélanger dans une demi-mesure d'eau alchimiquement simple les extraits d'ortilise, d'ortironce et d'énervure. Faire chauffer jusqu'à température glauque-glauque. Un précipité verdâtre doit alors apparaître. Si c'est le cas, filtrer la préparation. Sinon, la jeter au fumier. Malaxer le résidu du filtre avec le nartha jusqu'à consistance hibou. Faire chauffer une autre demi mesure d'eau alchimiquement simple jusqu'à température gris-gris-bleu. Y jeter la préparation et tirer hors du feu. Laisser refroidir. Si des traînées noires apparaissent dans le beau vert de la préparation, celle-ci a lamentablement échoué. Utilisation. La douce amie a les caractéristiques suivantes : La douce amie Malignité 8 Périodicité 5 rounds Dommages Perte de 2 points de vie, engourdissement euphorique Remèdes -6 / Perles de Bjwal +12, lait de lune +5, teinture d'érozonne +4, liqueur de Bagdol +3 1ière Source;Obtenir 1 demi mesure de douce amie.;1 dizaine de feuilles d'ortilise, 1 dizaine de feuille d'ortironce, 1 dizaine de feuilles d'énervure (ces trois plantes sont des urticants venimeux), 9 brins de mercurion, 15 doigts de lait de chèvre, 1 mesure d'eau alchimiquement simple, 10 pépins de nartha. Temps de préparation. 10 minutes pour chaque extrait, 15 minutes pour la première partie de la préparation, 30 minutes pour la seconde partie. Manipulation. Préparer un extrait d'ortilise : Malaxer une dizaine de feuilles fraîches d'ortilise avec 3 brins de mercurion. Faire chauffer 5 doigts de lait de chèvre jusqu'à température bleu-glauque. Tirer hors du feu et y mélanger la préparation précédente jusqu'à obtention d'une consistance serpent-serpent. Le produit doit être incolore. Préparer de même un extrait d'ortironce et un extrait d'énervure. Attention, ces extraits ne gardent leurs propriétés alchimiques que pendant 12 heures. Mélanger dans une demi-mesure d'eau alchimiquement simple les extraits d'ortilise, d'ortironce et d'énervure. Faire chauffer jusqu'à température glauque-glauque. Un précipité verdâtre doit alors apparaître. Si c'est le cas, filtrer la préparation. Sinon, la jeter au fumier. Malaxer le résidu du filtre avec le nartha jusqu'à consistance hibou. Faire chauffer une autre demi mesure d'eau alchimiquement simple jusqu'à température gris-gris-bleu. Y jeter la préparation et tirer hors du feu. Laisser refroidir. Si des traînées noires apparaissent dans le beau vert de la préparation, celle-ci a lamentablement échoué.;La douce amie a les caractéristiques suivantes : La douce amie Malignité 8 Périodicité 5 rounds Dommages Perte de 2 points de vie, engourdissement euphorique Remèdes -6 / Perles de Bjwal +12, lait de lune +5, teinture d'érozonne +4, liqueur de Bagdol +3 1ière Source;;
L'eau lustrale;L'eau lustrale (remède) But.: Se débarrasser définitivement d'un esprit thanataire. Ingrédients.: 7 larmes de jeune fille vierge, quoique pubère, une mesure d'eau puisée au pied d'un arc-en-ciel. Temps de préparation. 20 minutes. Manipulation.: Pour une mesure d'eau lustrale, introduire sept larmes de jeune fille vierge et pubère dans une mesure d'eau puisée au pied d'un arc-en-ciel. Faire chauffer le tout à température bleu-sangue et tirer vivement hors du feu. Un liquide clair indique que la préparation a réussi. Un liquide brunâtre indique que l'eau utilisée ne provenait pas du pied d'un arc-en-ciel, un liquide grisâtre que les larmes utilisées n'étaient pas celles d'un vierge, un liquide verdâtre que les deux ingrédients étaient faux ou que la température était mal estimée. Utilisation.: Il n'existe qu'un moyen de se débarrasser définitivement d'un esprit thanataire (vampire par exemple) : l'asperger d'eau lustrale puis le combattre physiquement une fois encore. L'eau lustrale est une préparation alchimique très simple, mais les ingrédients sont malheureusement problématiques. 2nde Source;: Se débarrasser définitivement d'un esprit thanataire.;: 7 larmes de jeune fille vierge, quoique pubère, une mesure d'eau puisée au pied d'un arc-en-ciel. Temps de préparation. 20 minutes. Manipulation.: Pour une mesure d'eau lustrale, introduire sept larmes de jeune fille vierge et pubère dans une mesure d'eau puisée au pied d'un arc-en-ciel. Faire chauffer le tout à température bleu-sangue et tirer vivement hors du feu. Un liquide clair indique que la préparation a réussi. Un liquide brunâtre indique que l'eau utilisée ne provenait pas du pied d'un arc-en-ciel, un liquide grisâtre que les larmes utilisées n'étaient pas celles d'un vierge, un liquide verdâtre que les deux ingrédients étaient faux ou que la température était mal estimée.;: Il n'existe qu'un moyen de se débarrasser définitivement d'un esprit thanataire (vampire par exemple) : l'asperger d'eau lustrale puis le combattre physiquement une fois encore. L'eau lustrale est une préparation alchimique très simple, mais les ingrédients sont malheureusement problématiques. 2nde Source;;
Eau Piôme;"Eau Piôme But. Augmenter ses capacités intellectuelles à tout prix.
Ingrédients. 2 écailles de fricortille, 7 brins d'herbe sotte, 1 déhacoudre d'huile de pierre, 1 mesure de jus de fraise Temps de préparation. 40 minutes, puis 12 heures de repos, et enfin 20 minutes. Manipulation. Faire une décoction d'herbe sotte. Ajouter les champignons broyés et mélanger jusqu'à consistance renard-renard-lapin-mouton. Laisser reposer 12 heures puis chauffer jusqu'à couleur bleu-vert-sangue-brun. Ajouter l'huile de pierre (Attention, si la température n'est pas la bonne, il y a un risque d'explosion !) et remuer énergiquement durant 10 minutes (FORCE à -4) jusqu'à consistance serpent-cheval-cheval. Mélanger finalement avec le jus de fraise des bois pour obtenir un liquide violet sirupeux, dont se dégage une légère brume verte. Il est difficile de remarquer que la manipulation a échoué, car cela se manifeste seulement par de léger changements de couleur de la brume (jouer VUE à -4). Lors de l'absorption seuls les effets secondaires apparaissent pour 6 heures de temps. La quantité obtenue est de deux mesures. Utilisation. L'absorption d'une demi-mesure d'eau Piôme réduit les caractéristiques physiques (-1) et augmente les caractéristiques mentales et oniriques (+1) pour une durée d'une demi-heure. Ses effets s'accompagnent d'hallucinations déformantes de la réalité (VOLONTÉ à -3 pour ne pas rester l'air hagard durant toute la durée des effets). De plus, la fin des effets est suivie d'un coup de barre (10 points de fatigue). L'eau Piôme se conserve à peine plus d'une semaine. Note. Afin d'en améliorer le goût, il est possible d'y ajouter 1 déhacoudre d'esprit blanc (Force -4). Source";Augmenter ses capacités intellectuelles à tout prix.;2 écailles de fricortille, 7 brins d'herbe sotte, 1 déhacoudre d'huile de pierre, 1 mesure de jus de fraise Temps de préparation. 40 minutes, puis 12 heures de repos, et enfin 20 minutes. Manipulation. Faire une décoction d'herbe sotte. Ajouter les champignons broyés et mélanger jusqu'à consistance renard-renard-lapin-mouton. Laisser reposer 12 heures puis chauffer jusqu'à couleur bleu-vert-sangue-brun. Ajouter l'huile de pierre (Attention, si la température n'est pas la bonne, il y a un risque d'explosion !) et remuer énergiquement durant 10 minutes (FORCE à -4) jusqu'à consistance serpent-cheval-cheval. Mélanger finalement avec le jus de fraise des bois pour obtenir un liquide violet sirupeux, dont se dégage une légère brume verte. Il est difficile de remarquer que la manipulation a échoué, car cela se manifeste seulement par de léger changements de couleur de la brume (jouer VUE à -4). Lors de l'absorption seuls les effets secondaires apparaissent pour 6 heures de temps. La quantité obtenue est de deux mesures.;L'absorption d'une demi-mesure d'eau Piôme réduit les caractéristiques physiques (-1) et augmente les caractéristiques mentales et oniriques (+1) pour une durée d'une demi-heure. Ses effets s'accompagnent d'hallucinations déformantes de la réalité (VOLONTÉ à -3 pour ne pas rester l'air hagard durant toute la durée des effets). De plus, la fin des effets est suivie d'un coup de barre (10 points de fatigue). L'eau Piôme se conserve à peine plus d'une semaine. Note. Afin d'en améliorer le goût, il est possible d'y ajouter 1 déhacoudre d'esprit blanc (Force -4). Source;;
L'eau de rêverie;;;;;;
Elixir des gnomes;Elixir des gnomes +15, tanemiel doré +10, tanemiel +8, huile de Sélikante +6, gelée royale +3 Source;;;;;
Potion d'Empathie;"Potion d'Empathie But. Fabriquer une potion augmentant l'empathie Ingrédients. 3 brins d'herbe de lune, qualité 5 minimum, 1 dose de lait de lune, 6 brins de satum, 6 pépins d'obbadion Manipulation. Faire une décoction à l'aide de 6 brins de satum et d'1 dose de lait de lune. Faire chauffer rapidement jusqu'à couleur pourpre-sangue (-2). Oter du feu, puis mélanger en incorporant peu à peu 3 brins d'herbe de lune (qualité 5 minimum) jusqu'à consistance mouton-hibou- renard (-3). Le liquide obtenu en cas de réussite est similaire à la semence masculine quant à la couleur et la consistance, ce qui en rebute plus d'un. Si le résultat est délié et fleurant bon la campagne, tout est à refaire. Utilisation. Boire l'intégralité de la potion sans respirer. L'effet a lieu au bout de 2 minutes (20 rounds) et dure 1 heure. Il confère un bonus de +6 à tous les jets d'EMPATHIE et permet surtout de doubler son EMPATHIE quant aux distances concernant les sorts. La fin de l'effet s'accompagne de la perte de 2d6 points d'endurance. Enchantement. Si la potion est enchantée, l'effet magique n'a lieu que si un jet de résistance standard est échoué. L'effet se produit alors dans le round consécutif au jet de résistance et voit sa durée modifiée. Les bonus durent autant d'heures que de points de rêve, le tout sans perte
d'endurance. Sur-effet. Il y a 3% de chances par point de rêve qu'un sur- effet se produise : perte partielle de l'INTELLECT (INT divisé par deux, arrondir en dessous). Pour le regain, jouer tout les matins un jet d'INTELLECT (originel) à zéro et regagner selon le barème des points de tâche. Source";Fabriquer une potion augmentant l'empathie;3 brins d'herbe de lune, qualité 5 minimum, 1 dose de lait de lune, 6 brins de satum, 6 pépins d'obbadion Manipulation. Faire une décoction à l'aide de 6 brins de satum et d'1 dose de lait de lune. Faire chauffer rapidement jusqu'à couleur pourpre-sangue (-2). Oter du feu, puis mélanger en incorporant peu à peu 3 brins d'herbe de lune (qualité 5 minimum) jusqu'à consistance mouton-hibou- renard (-3). Le liquide obtenu en cas de réussite est similaire à la semence masculine quant à la couleur et la consistance, ce qui en rebute plus d'un. Si le résultat est délié et fleurant bon la campagne, tout est à refaire.;Boire l'intégralité de la potion sans respirer. L'effet a lieu au bout de 2 minutes (20 rounds) et dure 1 heure. Il confère un bonus de +6 à tous les jets d'EMPATHIE et permet surtout de doubler son EMPATHIE quant aux distances concernant les sorts. La fin de l'effet s'accompagne de la perte de 2d6 points d'endurance.;"Si la potion est enchantée, l'effet magique n'a lieu que si un jet de résistance standard est échoué. L'effet se produit alors dans le round consécutif au jet de résistance et voit sa durée modifiée. Les bonus durent autant d'heures que de points de rêve, le tout sans perte
d'endurance. Sur-effet. Il y a 3% de chances par point de rêve qu'un sur- effet se produise : perte partielle de l'INTELLECT (INT divisé par deux, arrondir en dessous). Pour le regain, jouer tout les matins un jet d'INTELLECT (originel) à zéro et regagner selon le barème des points de tâche. Source";
Encres colorées;Encres colorées But. De belles encres pour vos parchemins, carnets de voyage, cartes, etc. Ingrédients. Une belle fleur de la couleur voulue, une mesure d'eau Alchimiquement Simple, 1 pépin d'Obbadion. Manipulation. Chauffer l'eau Alchimiquement Simple jusqu'à couleur Bleu-Gris (Vue/alchimie à -2). Ajouter l'Obbadion et remuer vigoureusement. Plonger la fleur dedans et laisser macérer pendant 2 heures. Vous devez obtenir une mesure d'un liquide coloré utilisable comme encre. Utilisation. Comme l'encre classique ! Enchantement. Possible en théorie, inutile en fait. Source;De belles encres pour vos parchemins, carnets de voyage, cartes, etc.;Une belle fleur de la couleur voulue, une mesure d'eau Alchimiquement Simple, 1 pépin d'Obbadion. Manipulation. Chauffer l'eau Alchimiquement Simple jusqu'à couleur Bleu-Gris (Vue/alchimie à -2). Ajouter l'Obbadion et remuer vigoureusement. Plonger la fleur dedans et laisser macérer pendant 2 heures. Vous devez obtenir une mesure d'un liquide coloré utilisable comme encre.;Comme l'encre classique !;Possible en théorie, inutile en fait. Source;
Engrais;Engrais But. Faire pousser rapidement et bellement fruits et légumineuses Ingrédients. Une livre de terre arable, des graines ou pousses de trois plantes différentes, une livre de fumier frais, 4 pépins d'obbadion. Manipulation. Planter les graines dans la terre arable et remuer vigoureusement : il faut atteindre une consistance Cheval-Hibou-Cheval (Dextérité/Alchimie à -3). Déverser le fumier frais dessus et continuer à remuer : il faut viser une consistance Hibou-Cheval-Cheval (Dextérité/Alchimie à -3). Planter alors la poudre d'obbadion dans le mélange et remuer encore, pour avoir une bonne consistance Cheval- Cheval-Hibou (Dextérité/Alchimie à -3). Le mélange a du se contracter et il doit vous rester une demi-livre d'une sorte de terre riche et grasse. Utilisation. Jeter une écaille (ou plus selon décision du Gardien) au pied d'une plante. Elle va se mettre à pousser à vitesse accélérée, grandissant et grossissant de la plus belle manière possible. Elle peut aller jusqu'à doubler de taille. Se référer à la Zone de Croissance Végétale selon Oniros (Livre II, p. 35) Enchantement. Non enchantable. Source;Faire pousser rapidement et bellement fruits et légumineuses;Une livre de terre arable, des graines ou pousses de trois plantes différentes, une livre de fumier frais, 4 pépins d'obbadion. Manipulation. Planter les graines dans la terre arable et remuer vigoureusement : il faut atteindre une consistance Cheval-Hibou-Cheval (Dextérité/Alchimie à -3). Déverser le fumier frais dessus et continuer à remuer : il faut viser une consistance Hibou-Cheval-Cheval (Dextérité/Alchimie à -3). Planter alors la poudre d'obbadion dans le mélange et remuer encore, pour avoir une bonne consistance Cheval- Cheval-Hibou (Dextérité/Alchimie à -3). Le mélange a du se contracter et il doit vous rester une demi-livre d'une sorte de terre riche et grasse.;Jeter une écaille (ou plus selon décision du Gardien) au pied d'une plante. Elle va se mettre à pousser à vitesse accélérée, grandissant et grossissant de la plus belle manière possible. Elle peut aller jusqu'à doubler de taille. Se référer à la Zone de Croissance Végétale selon Oniros (Livre II, p. 35);Non enchantable. Source;
